Assembly Accession	Assembly BioSample Package
GCF_020889785.1	Microbe.1.0
GCA_020889785.1	Microbe.1.0
GCF_013178945.1	Microbe.1.0
GCF_013178925.1	Microbe.1.0
GCF_013178975.1	Microbe.1.0
GCA_013178925.1	Microbe.1.0
GCA_013178945.1	Microbe.1.0
GCA_013178975.1	Microbe.1.0
GCF_016031625.1	Microbe.1.0
GCA_016031625.1	Microbe.1.0
GCF_036924595.1	MIGS.ba.6.0
GCF_003062295.1	Microbe.1.0
GCA_003062285.1	Microbe.1.0
GCA_003062295.1	Microbe.1.0
GCA_036924595.1	MIGS.ba.6.0
GCF_020889705.1	Microbe.1.0
GCA_020889705.1	Microbe.1.0
GCF_002266435.3	Microbe.1.0
GCA_002266435.3	Microbe.1.0
GCF_015291705.1	Microbe.1.0
GCF_000472685.1	Generic.1.0
GCF_021052265.1	Microbe.1.0
GCF_024758445.1	Microbe.1.0
GCF_024758505.1	Microbe.1.0
GCF_900116675.1	MIGS.ba.6.0
GCA_000472685.1	Generic.1.0
GCA_015291705.1	Microbe.1.0
GCA_021052265.1	Microbe.1.0
GCA_024758445.1	Microbe.1.0
GCA_024758505.1	Microbe.1.0
GCA_900116675.1	MIGS.ba.6.0
GCF_013114835.1	Microbe.1.0
GCA_013114835.1	Microbe.1.0
GCF_020329495.1	Microbe.1.0
GCF_056156585.1	MIGS.ba.plant-associated.6.0
GCA_020329495.1	Microbe.1.0
GCA_056156585.1	MIGS.ba.plant-associated.6.0
GCF_013114825.1	Microbe.1.0
GCA_013114825.1	Microbe.1.0
GCF_021052365.1	Microbe.1.0
GCF_029714225.1	Microbe.1.0
GCF_052402455.1	Microbe.1.0
GCF_056148755.1	Microbe.1.0
GCF_056148815.1	Microbe.1.0
GCF_056238545.1	Microbe.1.0
GCF_056312355.1	Microbe.1.0
GCF_056552435.1	Microbe.1.0
GCA_021052365.1	Microbe.1.0
GCA_029714225.1	Microbe.1.0
GCA_052402455.1	Microbe.1.0
GCA_056148755.1	Microbe.1.0
GCA_056148815.1	Microbe.1.0
GCA_056238545.1	Microbe.1.0
GCA_056312355.1	Microbe.1.0
GCA_056552435.1	Microbe.1.0
GCF_011516635.5	Microbe.1.0
GCF_017565685.3	Microbe.1.0
GCA_011516635.5	Microbe.1.0
GCA_017565685.3	Microbe.1.0
GCF_011068405.5	Microbe.1.0
GCF_017565645.3	Microbe.1.0
GCF_054822365.1	Microbe.1.0
GCF_054822425.1	Microbe.1.0
GCF_054822805.1	Microbe.1.0
GCF_054822905.1	Microbe.1.0
GCF_054823005.1	Microbe.1.0
GCF_054823685.1	Microbe.1.0
GCF_054823885.1	Microbe.1.0
GCA_011068405.5	Microbe.1.0
GCA_017565645.3	Microbe.1.0
GCA_054822365.1	Microbe.1.0
GCA_054822425.1	Microbe.1.0
GCA_054822805.1	Microbe.1.0
GCA_054822905.1	Microbe.1.0
GCA_054823005.1	Microbe.1.0
GCA_054823685.1	Microbe.1.0
GCA_054823885.1	Microbe.1.0
GCF_008932115.1	Microbe.1.0
GCF_004123905.1	Microbe.1.0
GCF_024585145.1	Microbe.1.0
GCF_024806875.1	MIGS.ba.6.0
GCF_050632175.1	Microbe.1.0
GCA_004123905.1	Microbe.1.0
GCA_008932115.1	Microbe.1.0
GCA_024585145.1	Microbe.1.0
GCA_024806875.1	MIGS.ba.6.0
GCA_050632175.1	Microbe.1.0
GCA_053181885.1	Microbe.1.0
GCF_029714345.1	Microbe.1.0
GCF_001969825.1	Microbe.1.0
GCF_012689435.1	Microbe.1.0
GCF_020889715.1	Microbe.1.0
GCF_020889755.1	Microbe.1.0
GCF_024199825.1	Microbe.1.0
GCF_029714765.1	Microbe.1.0
GCF_900101405.1	MIGS.ba.6.0
GCA_001969825.1	Microbe.1.0
GCA_012689435.1	Microbe.1.0
GCA_020889715.1	Microbe.1.0
GCA_020889755.1	Microbe.1.0
GCA_024199825.1	Microbe.1.0
GCA_029714345.1	Microbe.1.0
GCA_029714765.1	Microbe.1.0
GCA_900101405.1	MIGS.ba.6.0
GCF_009759665.1	Microbe.1.0
GCF_024199785.1	Microbe.1.0
GCA_009759665.1	Microbe.1.0
GCA_024199785.1	Microbe.1.0
GCF_014530645.1	Microbe.1.0
GCF_014529705.1	Microbe.1.0
GCA_014529705.1	Microbe.1.0
GCA_014530645.1	Microbe.1.0
GCF_019402665.1	MIGS.ba.plant-associated.6.0
GCF_002108675.1	Microbe.1.0
GCF_002108695.1	Microbe.1.0
GCF_002108725.1	Microbe.1.0
GCF_002108745.1	Microbe.1.0
GCF_002108755.1	Microbe.1.0
GCF_002108775.1	Microbe.1.0
GCF_002108805.1	Microbe.1.0
GCF_002108825.1	Microbe.1.0
GCF_002108845.1	Microbe.1.0
GCF_002108865.1	Microbe.1.0
GCF_002108875.1	Microbe.1.0
GCF_002108905.1	Microbe.1.0
GCF_002108965.1	Microbe.1.0
GCF_002108995.1	Microbe.1.0
GCF_016907215.1	MIGS.ba.6.0
GCF_018130465.1	Microbe.1.0
GCF_900105125.1	MIGS.ba.6.0
GCA_002108675.1	Microbe.1.0
GCA_002108695.1	Microbe.1.0
GCA_002108725.1	Microbe.1.0
GCA_002108745.1	Microbe.1.0
GCA_002108755.1	Microbe.1.0
GCA_002108775.1	Microbe.1.0
GCA_002108805.1	Microbe.1.0
GCA_002108825.1	Microbe.1.0
GCA_002108845.1	Microbe.1.0
GCA_002108865.1	Microbe.1.0
GCA_002108875.1	Microbe.1.0
GCA_002108905.1	Microbe.1.0
GCA_002108965.1	Microbe.1.0
GCA_002108995.1	Microbe.1.0
GCA_016907215.1	MIGS.ba.6.0
GCA_018130465.1	Microbe.1.0
GCA_019402665.1	MIGS.ba.plant-associated.6.0
GCA_045811605.1	MIMAG.soil.6.0
GCA_900105125.1	MIGS.ba.6.0
GCF_054602315.1	Microbe.1.0
GCF_054602195.1	Microbe.1.0
GCF_054602205.1	Microbe.1.0
GCA_054602195.1	Microbe.1.0
GCA_054602205.1	Microbe.1.0
GCA_054602315.1	Microbe.1.0
GCF_020329485.1	Microbe.1.0
GCF_977008075.1	Generic.1.0
GCF_977012035.1	Generic.1.0
GCF_977012055.1	Generic.1.0
GCA_020329485.1	Microbe.1.0
GCA_977008075.1	Generic.1.0
GCA_977012035.1	Generic.1.0
GCA_977012055.1	Generic.1.0
GCF_001641635.1	Microbe.1.0
GCA_001641635.1	Microbe.1.0
GCF_045571495.1	Microbe.1.0
GCF_024809395.1	MIGS.ba.6.0
GCF_024809475.1	MIGS.ba.6.0
GCF_056867965.1	MIGS.ba.agriculture.6.0
GCA_024809395.1	MIGS.ba.6.0
GCA_024809475.1	MIGS.ba.6.0
GCA_045571495.1	Microbe.1.0
GCA_056867965.1	MIGS.ba.agriculture.6.0
GCF_015624505.1	Microbe.1.0
GCA_015624505.1	Microbe.1.0
GCF_000284275.1	Generic.1.0
GCF_007290395.2	Microbe.1.0
GCF_032290525.1	Microbe.1.0
GCA_000284275.1	Generic.1.0
GCA_007290395.2	Microbe.1.0
GCA_032290525.1	Microbe.1.0
GCF_008123515.1	MIGS.ba.plant-associated.6.0
GCA_008123515.1	MIGS.ba.plant-associated.6.0
GCF_021044685.1	Microbe.1.0
GCF_007830205.1	MIGS.ba.6.0
GCF_044909455.1	Microbe.1.0
GCA_007830205.1	MIGS.ba.6.0
GCA_021044685.1	Microbe.1.0
GCA_044909455.1	Microbe.1.0
GCF_042019905.1	Microbe.1.0
GCA_042019905.1	Microbe.1.0
GCF_013179005.1	Microbe.1.0
GCF_018129525.1	Microbe.1.0
GCF_023572055.1	Microbe.1.0
GCF_053891355.1	MIGS.ba.soil.6.0
GCF_055118695.1	Microbe.1.0
GCA_013179005.1	Microbe.1.0
GCA_018129525.1	Microbe.1.0
GCA_023572055.1	Microbe.1.0
